Категория,Вопросы,Ответ,Квартал
АХО,"Вместо фруктов было бы прикольно сделать полочку с витаминами (стандартные). Так и всем хватит по количеству, и дешевле будет чем фрукты, и полезнее.","Я против, потому что витамины дело очень индивидуальное и они должны быть рекомендованы врачами. И некотороые витамины могут вредить. Если не хватает фруктов, то давайте мы лучше увеличм колличество фруктов.",Q1 2025 
Event,"Добрый день Даурен. У меня вопрос по плюшкам BFE. Очень хорошо что они есть, большое спасибо. Вопрос в том, что за 5 лет суммы не менялись, а цены на все вокруг нас очень. Будут ли индексироваться суммы этих плюшек за эти года?","Мы сделали анализ, посмотрели официальную статистику, цены за 2024 год выросли на 11% в здравоохранении, а спорт на 9,5%. Мы решили, что повысим на 20% хелс и фит. 120 000тг - безвозмездно и 120 000тг - можно будет взять в рассрочку у компании.Эффект от повышения для экосистемы в целом около 30 млн.",Q1 2025 
АХО,"Добрый день! Возможно ли разместить гантели в офисе? Думаю, не обязательно на каждом этаже – если будет выделено специальное место, это было бы отлично. Есть универсальные гантели со съемными блинами, которые занимают минимум пространства.","На 12 этаже мы планировали сделать спорт зал. Пока будет тепло у нас там будет зал, со всем инвентарем. Потому что в офисе на этажах как бдуто бы негде. Я в целом за.",Q1 2025 
АХО,Есть ли возможность обустроить курилку на одном из этажей?,"Мы изучим этот вопрос, но не просите бесплатные сигареты",Q1 2025
АХО,"Уважаемый Даурен Тулебаев!№1Я хотел бы предложить рассмотреть возможность приобретения подписки на ChatGPT Enterprise для нужд нашей компании. Данная платформа представляет собой мощный инструмент искусственного интеллекта, способный значительно повысить эффективность нашей работы и улучшить внутренние процессы.Я уверен, что внедрение ChatGPT Enterprise принесёт значительные преимущества нашей компании, позволяя нам оставаться конкурентоспособными и инновационными на рынке.Благодарю за внимание и надеюсь на положительное рассмотрение моего предложения.№2Обращаюсь к Вам с предложением, которое, на мой взгляд, может существенно повысить удобство и привлекательность Вашего предприятия для сотрудников и клиентов.В условиях растущей популярности велосипедов и электросамокатов как экологичных и удобных средств передвижения, считаю важным рассмотреть возможность установки велосипедных и электросамокатных стоянок на территории Вашей компании. Кроме того, было бы полезно организовать место в паркинге или иное помещение, оборудованное необходимыми зарядными устройствами (розетками) для электросамокатов.Особенно актуально это предложение в летний сезон, когда использование велосипедов и электросамокатов достигает своего пика. Внедрение таких удобств позволит:Повысить удовлетворенность сотрудников за счет удобства использования личного транспорта.Сократить автомобильные пробки и снизить углеродный след компании, демонстрируя приверженность экологическим инициативам.Улучшить имидж компании как современного и ответственного работодателя/организатора.Привлечь новых сотрудников и клиентов, ценящих экологичные и удобные способы передвижения.","1. По поводу чата GPT, достаточно дорого будет выходить. Мы можем рассмотреть заявку для производсвенных нужд для дизайнеры и т.д., тем кому нужно для генерации идей, для работы. Именно интерпрайс покупать смысла не вижу, если вы будете покупать подписку плюс и сможете доказать, что вы используете ее в рабочих целях - то мы возместим эти затраты.2. С задней стороны офиса есть велостоянка, только там нет зарядки. В целом, реализовать зарядное устройство и поставить там же на стоянке - проблем нет. Но нужно понять потребность, будут ли там самокаты эелектрические? По паркингу мы тоже переговорим, насколько возможно будет поставить туда самокаты и зарядное устройство",Q1 2025
Event ,А можно ли перенести турнир по настольному теннису во время оразы ?) Спасибо !,"Постараемся сделать турнир во второй половине дня ближе к ауызашару, но переносить не будем.",Q1 2025
АХО,"Во сколько надо приходить чтоб успевать на эту кашу? Во сколько бы не пришли, что в 9 утра, что в 9.30, каши обычно нет. Или можно добавить доп кастрюлю, так как многие работают с 10 утра, к этому времени о каше можно и не мечтатьИли же подавать ее в два захода, только чтоб те кто уже поел ее, не могли повторно брать. Или просто передвинуть время подачи каши","Я предлагаю делать каши в два захода, каша готовиться - потом перекладывается в термопосуду, после идет второй заход, думаю будет всем хватать",Q1 2025
АХО,Ещё одна крейзи идея поставить стол для арм реслинга в игровую,"Если место есть в игровой, то поставим. Если в игровую не влезет, поставим в коридоре",Q1 2025
АХО,"Здравствуйте, понравилась музыка в коридоре . Предлагаю каждую пятницу с 13.00 до 14.00 включать музыку , именно веселую и добрую ) чтобы ребята немного расслабились от сложной недели и могли расслабить булки и покайфовать","Мы поставим яндекс колонки на кухни, на все этажи.",Q1 2025
АХО,"Добрый день! Подскажите пожалуйста, есть ли возможность организовать намазхану. Вопрос связан с тем что спец.помещение на 5 этаже теперь закрыто( Очень надеюсь что будет возможность как-то организовать, заранее спасибо за ответ🙌🏻🙌🏻",Изучим этот впорос,Q1 2025
АХО,"Хотелось бы в холодильнике легкие и полезные перекусы, помимо выпечки. Например, йогурты, сырники, творожные запеканки, сырки, готовые каши. Это поможет разнообразить рацион и сделать перекусы более питательными:)","Изучим этот вопрос. В целом, я за",Q1 2025
Event,"Добрый день, благодарю за возможность работать с вами. 1) Хотела бы предложить идею коллективной консультации разных специалистов , к примеру диетологов/нутрициологов/консультантов по ЗОЖ/фитнес тренеров. Меня лично интересует услуги налогового консультанта, но самой брать такую услугу не очень дешевое удовольствие. Было бы отлично, если бы какой то день недели мы голосуем за консультацию отдельного специалиста и собираем пул вопросов. 2) Так же в прошлом году у нас был доступ к платформе Понимаю. Было бы отлично если продолжим так же и в этом году, получила необходимую мне поддержку и буду рада если компания позволит продолжить сотрудничество. Заранее благодарю за ответ","1. Поддерживаю, идея хорошая, давайте проработаем2. Доступ вернется до конца февраля",Q1 2025
Академия ,"Как насчет открытия своего образовательного центра? То есть центр будет обучать людей своей деятельности (например, разрабов, продактов, менеджеров и тд) и среди них будет забирать себе выдающихся учеников на работу. Так же эту систему можно использовать внутри компании, тем кто хочет сменить направление или просто получить повышение:)",У нас будет образовтельный центр - академия.,Q1 2025
Битрикс,"Здравствуйте, будет ли введена в 7G компенсация за использование своего ноутбука?","Будет введена компенсация, пока вопрос на этапе согласования. Будет в каждой компании.",Q1 2025
Битрикс,"Можно установить правило занимать конференц залы максимум на час? На 10-м этаже MSSP постоянно бронируют на 2-3 часа, бронь поставить невозможно. А когда проходишь мимо конференц залов - всегда пусто и никого нет. По итогу просто так занимают и даже не снимают бронь","Если не используйте, не нужно сатвить бронь, это ко всем компаниям относится. Бронируйте с умом, если отменяется встреча - отменяцте бронь",Q1 2025
Event,В Европе и Америке уже внедрили выходные\удаленка для женского пола на 3 дня каждый месяц. Давайте тоже официально это оформим у нас. Спасибо за Спанч Боб)),"Я не против касательно удаленки, я против выходных. Мы можем официально прописать, что в таких случаях можно выходить на удаленку",Q1 2025
АХО,"Здравствуйте Даурен. Хочу высказать свое мнение в отношении работы Офис менеджера 11 этажа Динары.  Элементарные вещи которые входят в ее должностную обязательства не выполняются или выполняются плохо. Например, встреча гостей и подготовка угощений для митинг румов, наполнение аптечки и полки с канцелярией, всегда нет батареек, лекарств и др принадлежностей которые успешно разложены на 9 этаже. В аптечке лежат просроченные лекарства периодически.",Во первых я поговор. с Динарой. Во вторых я изучу сегодня базу знаний и изучу функционал работы офис менеджеров. Мы решим этот вопрос.,Q1 2025
Финансисты ,"Даурен, приветствую! Хочу задать свой первый вопрос/предложение. Возможно, это уже обсуждалось, но было бы здорово рассмотреть альтернативу БЦК Банку для зарплатного проекта. В последнее время с текущим банком возникает слишком много проблем: баги в приложении, невозможность посмотреть историю платежей, да и в целом использование не кажется удобным. У банка явно не хватает клиентоориентированности, и доверять свои деньги такому сервису становится всё сложнее. Чем дальше - тем хуже (мое мнение).Пользуясь случаем хочу сказать спасибо, за все дополнительные плюшки: завтраки, фрукты, чай-кофе, health/fit и многое другое.",Давайте мы проведем анализ. результаты опубликуем,Q1 2025
Event,Самые классные футболки и рюкзаки в Кеден. Можно сделать всем единые ? Чтоб у всех было так только с бабочкойФутболки зачетные,"Мы сделаем аналитику, изучим все. Потом примем решение, возможно, немного перефарматируем. Мерч одинаковый - лого у каждый свой.",Q1 2025
HR,"Здравствуйте, Даурен!  Спасибо вам и команде ProPeople за те удобства и улучшения, которые у нас есть. Очень рада быть частью такой команды!  Хотела бы отметить работу HR-ов группы компаний Каздрим. До сих пор не совсем понятно, чем они занимаются. Создается впечатление, что команда HR не в полной мере выполняет свои обязанности. У меня нет претензий к рекрутингу и другим процессам, но ощущается, что HR взаимодействуют с командами неравномерно.  Кроме того, HR — это не только лицо компании, но и те, кто задают атмосферу. Однако складывается впечатление, что их политика такова: если сотрудник сам не обратится, то HR не проявляют инициативу. Более того, бывает, что HR даже не здороваются, а иногда чувствуется высокомерное отношение. Вдобавок, если задать им вопрос, часто оказывается, что у них нет ответа, и ситуация только больше запутывается.  Да, понятно, что HR-команда небольшая, а людей в компании много, но все же можно было бы организовывать какие-то мини-мероприятия или короткие игровые активности для лучшего взаимодействия. Ведь HR — это не только про дни рождения и подарки, а про поддержку сотрудников, их вовлеченность и адаптацию в компании.  Спасибо за внимание!","Скажу так, дамы без огня не бывает. Если пишут, значит есть причины. Поэтому просьба HR комнда просьба ко мне зайти вместе с Думаном. Я включусь в этот вопрос, поймем, разберемся и будем меры принимать",Q1 2025
Event,"Добрый день! Очень понравился ваш подкаст, который вышел в день рождение BFE. Подскажите, будет ли докупаться техника в наш подкаст-room? Камера или микрофоны. Тоже хотели бы снять подобное. Спасибо за ответ!","Давайте поймем, что нужно. Если не хватает - то закупим",Q1 2025
АХО,"Здравствуйте, может все таки начнем потихоньку делать туалетные кабинки закрытые … пожалуйста, правда неудобно Алиса не помогает","Уже проговорили про это, мы установим звуковые максировщики",Q1 2025
Даурен,"Добрый день, Уважаемый Даурен! Спасибо большое за все, что вы делаете для нас! Мы чувствуем заботу и внимание к нашим просьбам, спасибо большое вам и команде Propeople! Вот эта традиция Спанч Боб очень крутая и действительно влияет на внутренний комфорт сотрудников, некоторые вроде мелочи, но так упрощают жизнь. Например, 3 микроволновка существенно сократила очереди на обед и таких примеров множество.","Окей, пожалуйста, всегда рады",Q1 2025
Даурен,Можно сделать в офисе комнату с домашними животными(кошки или собаки)? чтобы снимать стресс. Хотя бы в один кабинет))))))),"Вопрос ранее поднимался на спанч бобах. Мы против, потому что есть аллергики.",Q1 2025
Даурен,"Здравствуйте. Как вам концепция массажа в офисе?) К сожалению или к счастью я не попала еще на сеанс массажа, так как у меня не достаточное количество дкн. Накопить дкн не так уж легко, парням в компании легче так как активности большинство для них. Также стоит отметить, что самый активный сотрудник максимум 3 раза. А голова, спина и шея болят чаще. Может быть вместо штатного/приходящего массажиста можно организовать скидку в массажном кабинете на подобии скидки в инвиво ( за это отдельное спасибо 🙏🏻) ?","Мы тоже задались этим вопросам, как можно заработать дримкоины? 250 дкн:1. Подписаться на Живи - 25 ДКН2. Сделать репост Живи - 50ДКН3. Подписаться на Фонд +1 - 25ДКН4. Сделать репост Фонд +1 - 50 ДКН5. Пройти опрос (по ребуту) - 30 ДКН6. Написать экспертную статью и опубликовать на любом источнике - 150 ДКН7. Стать наставником новичка - 350 ДКНИтого: 680 ДКН или 2 сеанса массажаПоэтому проблем с этим нет и вперед на массаж)",Q1 2025
Event,"Добрый день) знаю что в нашем офисе все очень умные и супер классные ребята, но среди них немало одиночек =( что если  устроить в BFE Speed-dating ?)","Есть понятие, как профессиональная этике. Я радуюсь, конечно, когда у нас появляются семейные пары. Но создавать некие условия для этого - я против.",Q1 2025
АХО,Можно ли снова добавить на кухню те панини и сэндвичи за 500-600 тенге? особенно панини был очень вкусный. почему их убрали((,В рамках предыдущего вопроса мы решим,Q1 2025
Даурен,Можно ли оставаться в офисе 24/7 и спать ночью в офисе?,Можно,Q1 2025
Даурен,"предлагаю не покупать альтернативное молоко, по типу овсяных, кокосовых,  миндальных, и добавить этот бюджет поверх в FIT или HEALTH ну или на другое чтото более полезное. Не все пьют это молоко, а те кто да, пусть берут себе сами!",Мы не будем убирать альтернативное молоко,Q1 2025
Даурен,"Добрый день, Даурен!Спасибо большое за вашу поддержку и уважение, которое мы чувствуем во всех рабочих процессах. Это действительно мотивирует и помогает нам двигаться вперед.Хотела бы обратить внимание на один момент. Есть коллеги, в основном руководители, которые иногда игнорируют сообщения в Telegram. Мы пишем не ради праздных бесед, а по рабочим вопросам, которые зачастую, требуют оперативного решения. К сожалению, из-за отсутствия обратной связи некоторые задачи остаются на месте, хотя человеку нужно всего лишь выделить несколько минут для комментария или ответа.Кроме сложности в решении рабочих вопросов, это создает ощущение, что наша работа недостаточно ценится, раз даже на сообщение ответить не считают нужным. Я прекрасно понимаю, что у всех напряженный график, и не всегда можно отвечать сразу. Но если это возможно, прошу хотя бы отвечать в конце дня или на следующий день, чтобы мы могли двигаться дальше.Спасибо большое за понимание!","Я считаю, что это больше посыл всем тем, кто не отвечает на сообщения. Это работа, если есть запрос/сообщение прошу отвечать. Очень важно ваше отношение к коллегам, важно уважение.",Q1 2025
